Comment,Description,Designator,Footprint,Quantity,LCSC Part #
"640456-2","1x2P 1 2.54mm 2 Copper Alloy Plugin,P=2.54mm Wire To Board / Wire To Wire Connector","BAT, PV","TE_640456-2","2","C86502"
"10uF","10 uF, 16 V, ± 10%, X5R, 0805","C1","YAGEO-0805-C-L","1","C89827"
"1uF","1 uF, 10 V, ± 10%, X7R, 0805","C2","YAGEO-0805-C-L","1","C519973"
"47uF","47 uF, 6.3 V, ± 20%, X5R, 0805","C3, C6","YAGEO-0805-C-L","2","C16780"
"1 nF","1 nF,  50V, 10%, X7R, 0805","C4, C5, C8","YAGEO-0805-C-L","3","C94121"
"10 nF","10 nF, 50 V, ± 10%, X7R, 0805","C7","YAGEO-0805-C-L","1","C83170"
"4.7uF","4.7 uF, 50 V, ± 10%, X5R, 0805","C9","YAGEO-0805-C-L","1","C132173"
"TVS-MSKSEMI","TVS 9.2V 6.4V 5V SMA","D1","MSKSEMI-TVS-L","1","C5189780"
"SMD LED","516nm~525nm -30?~+85? Positive post Emerald 120° 80mW 0805","D2, D3","SMD-LED-L","2","C965815"
"J2P","2.5mm 3A  2P Straight Square Pins 6mm -40?~+105? 3mm 2.54mm Plugin Black 1x2P Plugin,P=2.54mm Pin Header","JP1","DIP2","1","C2685144"
"10uH","10 uH Power Inductor 20% 100KHz Ferrite 2.5A 0.061Ohm","L1","BEAD 10UH","1","C404485"
"0O","0 Ohm, 1%, 0.125W, 0805","R1, R4","YAGEO-0805-R-L","2","C174076"
"1KO","1 kOhm, ± 1%, 125 mW, 0805","R2, R5, R6, R8, R9, R10","YAGEO-0805-R-L","6","C95781"
"2.2MO","2.2 MOhm, ± 1%, 125 mW, 0805","R3","YAGEO-0805-R-L","1","C137552"
"820KO","820 kOhm, ± 1%, 125 mW, 0805","R7","YAGEO-0805-R-L","1","C141700"
"470O","470 Ohm, ± 1%, 125 mW, 0805","R11","YAGEO-0805-R-L","1","C114564"
"3.3KO","3.3 kOhm, ± 1%, 125 mW, 0805","R12","YAGEO-0805-R-L","1","C114531"
"24KO","24 kOhm, ± 1%, 125 mW, 0805","R13","YAGEO-0805-R-L","1","C137562"
"SPV1040T","IC BATTERY CHARGER SOLAR 8TSSOP","U1","SOP65P640X120-8N","1","C2969792"
"L6924D","Battery Charger Li-Ion/Li-Pol 30mA 4.1V 16-Pin VFQFPN EP","U2","QFN50P300X300X100-17L-D","1","C155635"
